0,1,2,3,4,5,6,7,8
レベル１,レベル２,レベル３,レベル４,レベル５,積算用,工事数量総,ﾓｼﾞｭｰﾙ,
,,,,,,,,摘　　要
工事区分,工　　種,種　　別,細　　別,規　　格,単位,括表用単位,ｺｰﾄﾞ№,
整地,整地土工,掘削工,掘削,【土質】,m3,m3,Q20011001,
,,,土砂等運搬,【土質】,m3,m3,Q20012001,
,,,残土等処分,【　－　】,m3,m3,Q20021001,
,,,整地,【　－　】,m3,m3,Q20014001,
,,,転石破砕,【　－　】,m3,m3,Q20015001,
,,,押土(ﾙｰｽﾞ),【土質】,m3,m3,Q20016001,
,,,積込(ﾙｰｽﾞ),【土質】,m3,m3,Q20017001,
,,,人力積込,【土質】,m3,m3,Q20018001,
,,盛土工,路体(築堤)盛土,【　－　】,m3,式 or m3,Q20019001,
,,(敷均し・締固め工),路床盛土,【　－　】,m3,式 or m3,Q20019002,
,,,土砂等運搬,【土質】,m3,式 or m3,Q20012001,任意の場合は
,,,整地,【　－　】,m3,式 or m3,Q20014001,ﾚﾍﾞﾙ3の全体数量
,,,押土(ﾙｰｽﾞ),【土質】,m3,式 or m3,Q20016001,をm3単位で表示
,,,積込(ﾙｰｽﾞ),【土質】,m3,式 or m3,"Q20017001
する",
,,,人力積込,【土質】,m3,式 or m3,Q20018001,
,,,土材料,【　－　】,m3,m3,Q20020001,
,,盛土補強工,安定ｼｰﾄ･ﾈｯﾄ,【ｼｰﾄ種類】,m2,m2,Q10035001,
,,,水平ﾄﾞﾚｰﾝ,【種類、幅】,m,m,,
,,宅地仕上げ工,宅地仕上げ,【　－　】,m2,m2,Q70017001,
,再生砕石工,再生砕石製造工,再生砕石製造,【　－　】,m3,m3,,
,,,骨材再生機組立・解体,【　－　】,回,式 or 回,,
,,再生砕石運搬工,再生砕石運搬,【運搬距離】,m3,m3,,
,地盤改良工,表層安定処理工,ｻﾝﾄﾞﾏｯﾄ,【　－　】,m3,m3,Q10479001,
,,,安定ｼｰﾄ･ﾈｯﾄ,【材質、規格】,m2,m2,Q10035001,
,,,安定処理,【混合深さ、添加材料、添加材使用量】,m2,m2,Q70027001,
,,,置換,【置換材料】,m3,m3,,
,,ﾊﾞｰﾁｶﾙﾄﾞﾚｰﾝ工,ｻﾝﾄﾞﾄﾞﾚｰﾝ,【径、SD打設長､SD杭径､SCP径､SCP打設長､SCP杭径】,本,本,Q10490001,
